Machine Name,Lloyd LRX ,,1st,,,2nd,,,3rd,,,4th,,,5th,,,6th,
,50 N load cell at RT with a crosshead speed of 20 mm min−1 with 1-minute rest time,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,19.63,0.00,,15.79,0.00,,19.39,0.00,,16.00,0.00,,16.39,0.00,,15.85,0.00
,,,18.91,0.00,,15.14,0.00,,18.68,0.00,,15.33,0.00,,15.73,0.00,,15.19,0.00
,,,18.19,0.00,,14.49,0.00,,17.97,0.00,,14.68,0.00,,15.08,0.00,,14.54,0.00
,,,17.49,0.00,,13.86,0.00,,17.27,0.00,,14.05,0.00,,14.43,0.00,,13.92,0.00
,,,16.81,0.00,,13.25,0.00,,16.59,0.00,,13.44,0.00,,13.80,0.00,,13.30,0.00
,,,16.14,0.00,,12.65,0.00,,15.93,0.00,,12.82,0.00,,13.19,0.00,,12.70,0.00
,,,15.47,0.00,,12.05,0.00,,15.27,0.00,,12.23,0.00,,12.59,0.00,,12.10,0.00
,,,14.83,0.00,,11.47,0.00,,14.62,0.00,,11.64,0.00,,11.99,0.00,,11.52,0.00
,,,14.20,0.00,,10.91,0.00,,13.99,0.00,,11.08,0.00,,11.41,0.00,,10.95,0.00
,,,13.57,0.00,,10.36,0.00,,13.38,0.00,,10.52,0.00,,10.85,0.00,,10.40,0.00
,,,12.95,0.00,,9.81,0.00,,12.77,0.00,,9.97,0.00,,10.30,0.00,,9.85,0.00
,,,12.36,0.00,,9.28,0.00,,12.17,0.00,,9.44,0.00,,9.76,0.00,,9.32,0.00
,,,11.78,0.00,,8.77,0.00,,11.59,0.00,,8.93,0.00,,9.23,0.00,,8.81,0.00
,,,11.20,0.00,,8.27,0.00,,11.02,0.00,,8.41,0.00,,8.72,0.00,,8.31,0.00
,,,10.64,0.00,,7.78,0.00,,10.46,0.00,,7.92,0.00,,8.22,0.00,,7.81,0.00
,,,10.09,0.00,,7.30,0.00,,9.92,0.00,,7.44,0.00,,7.73,0.00,,7.34,0.00
,,,9.56,0.00,,6.84,0.00,,9.39,0.00,,6.98,0.00,,7.25,0.00,,6.88,0.00
,,,9.04,0.00,,6.40,0.00,,8.87,0.00,,6.52,0.00,,6.79,0.00,,6.43,0.00
,,,8.52,0.00,,5.96,0.00,,8.37,0.00,,6.08,0.00,,6.35,0.00,,5.99,0.00
,,,8.03,0.00,,5.53,0.00,,7.87,0.00,,5.66,0.00,,5.91,0.00,,5.57,0.00
,,,7.55,0.00,,5.13,0.00,,7.40,0.00,,5.25,0.00,,5.49,0.00,,5.16,0.00
,,,7.08,0.00,,4.74,0.00,,6.94,0.00,,4.85,0.00,,5.09,0.00,,4.77,0.00
,,,6.62,0.00,,4.35,0.00,,6.48,0.00,,4.47,0.00,,4.70,0.00,,4.38,0.00
,,,6.18,0.00,,3.99,0.00,,6.04,0.00,,4.10,0.00,,4.32,0.00,,4.02,0.00
,,,5.76,0.00,,3.64,0.00,,5.62,0.00,,3.74,0.00,,3.95,0.00,,3.67,0.00
,,,5.34,0.00,,3.30,0.00,,5.21,0.00,,3.40,0.00,,3.60,0.00,,3.33,0.00
,,,4.94,0.00,,2.98,0.00,,4.81,0.00,,3.07,0.00,,3.27,0.00,,3.00,0.00
