Machine Name,Lloyd LRX ,P40-HDO Undamaged,1,,,2,,,3,,,P40-HDO 3 hr Healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.47,0,,-0.54,0,,-0.45,-0.01,,,0,-0.02,,-0.55,0,,-0.27,-0.01
,,,178.61,0.58,,277.67,0.84,,162.5,0.71,,,83.65,0.47,,111.66,0.55,,95.81,0.44
,,,179.8,0.58,,279.48,0.84,,163.65,0.71,,,84.26,0.47,,112.43,0.55,,96.49,0.44
,,,181,0.58,,281.29,0.84,,164.8,0.71,,,84.86,0.47,,113.21,0.55,,97.17,0.44
,,,182.19,0.59,,283.1,0.84,,165.95,0.71,,,85.46,0.47,,113.99,0.55,,97.85,0.44
,,,183.39,0.59,,284.9,0.85,,167.1,0.72,,,86.07,0.47,,114.77,0.55,,98.52,0.45
,,,184.58,0.59,,286.71,0.85,,168.25,0.72,,,86.67,0.47,,115.55,0.55,,99.2,0.45
,,,185.77,0.59,,288.52,0.85,,169.4,0.72,,,87.27,0.47,,116.33,0.55,,99.88,0.45
,,,186.97,0.59,,290.33,0.85,,170.55,0.72,,,87.88,0.48,,117.11,0.56,,100.56,0.45
,,,188.16,0.59,,292.14,0.85,,171.7,0.72,,,88.48,0.48,,117.89,0.56,,101.24,0.45
,,,189.36,0.59,,293.94,0.86,,172.85,0.73,,,89.08,0.48,,118.66,0.56,,101.91,0.45
,,,190.55,0.59,,295.75,0.86,,174,0.73,,,89.69,0.48,,119.44,0.56,,102.59,0.45
,,,191.74,0.6,,297.56,0.86,,175.15,0.73,,,90.29,0.48,,120.22,0.56,,103.27,0.45
,,,192.94,0.6,,299.37,0.86,,176.3,0.73,,,90.89,0.48,,121,0.56,,103.95,0.45
,,,194.13,0.6,,301.17,0.87,,177.45,0.73,,,91.5,0.48,,121.78,0.57,,104.63,0.46
,,,195.33,0.6,,302.98,0.87,,178.6,0.74,,,92.1,0.48,,122.56,0.57,,105.3,0.46
,,,196.52,0.6,,304.79,0.87,,179.75,0.74,,,92.7,0.49,,123.34,0.57,,105.98,0.46
,,,197.72,0.6,,306.6,0.87,,180.9,0.74,,,93.31,0.49,,124.11,0.57,,106.66,0.46
,,,198.91,0.6,,308.41,0.87,,182.05,0.74,,,93.91,0.49,,124.89,0.57,,107.34,0.46
,,,200.1,0.6,,310.22,0.88,,183.2,0.74,,,94.52,0.49,,125.67,0.57,,108.02,0.46
,,,201.3,0.6,,312.03,0.88,,184.35,0.75,,,95.12,0.49,,126.45,0.57,,108.69,0.46
,,,202.49,0.61,,313.84,0.88,,185.5,0.75,,,95.72,0.49,,127.23,0.58,,109.37,0.46
,,,203.69,0.61,,315.65,0.88,,186.65,0.75,,,96.33,0.49,,128.01,0.58,,110.05,0.47
,,,204.88,0.61,,317.46,0.88,,187.8,0.75,,,96.93,0.49,,128.79,0.58,,110.73,0.47
,,,206.07,0.61,,319.27,0.89,,188.95,0.75,,,97.53,0.5,,129.57,0.58,,111.41,0.47
,,,207.27,0.61,,321.08,0.89,,190.1,0.76,,,98.14,0.5,,130.34,0.58,,112.08,0.47
,,,208.46,0.61,,322.89,0.89,,191.25,0.76,,,98.74,0.5,,131.12,0.58,,112.76,0.47
,,,209.66,0.61,,324.7,0.89,,192.4,0.76,,,99.34,0.5,,131.9,0.58,,113.44,0.47
,,,210.85,0.61,,326.51,0.89,,193.55,0.76,,,99.95,0.5,,132.68,0.59,,114.12,0.47
,,,212.05,0.61,,328.32,0.9,,194.7,0.76,,,100.55,0.5,,133.46,0.59,,114.8,0.47
,,,213.24,0.61,,330.13,0.9,,195.85,0.76,,,101.15,0.5,,134.24,0.59,,115.48,0.47
,,,214.43,0.62,,331.94,0.9,,197,0.77,,,101.76,0.5,,135.02,0.59,,116.15,0.48
,,,215.63,0.62,,333.75,0.9,,198.15,0.77,,,102.36,0.51,,135.79,0.59,,116.83,0.48
,,,216.82,0.62,,335.56,0.9,,199.3,0.77,,,102.97,0.51,,136.57,0.59,,117.51,0.48
,,,218.02,0.62,,337.37,0.91,,200.45,0.77,,,103.57,0.51,,137.35,0.59,,118.19,0.48
,,,219.21,0.62,,339.18,0.91,,201.6,0.77,,,104.17,0.51,,138.13,0.59,,118.87,0.48
,,,220.4,0.62,,340.98,0.91,,202.75,0.77,,,104.78,0.51,,138.91,0.59,,119.54,0.48
,,,221.6,0.62,,342.79,0.91,,203.9,0.77,,,105.38,0.51,,139.69,0.59,,120.22,0.48
,,,222.79,0.62,,344.6,0.91,,205.05,0.78,,,105.98,0.51,,140.47,0.6,,120.9,0.48
,,,223.99,0.62,,346.41,0.92,,206.2,0.78,,,106.59,0.51,,141.25,0.6,,121.58,0.48
,,,225.18,0.62,,348.22,0.92,,207.35,0.78,,,107.19,0.51,,142.02,0.6,,122.26,0.48
,,,226.38,0.63,,350.03,0.92,,208.5,0.78,,,107.79,0.51,,142.8,0.6,,122.93,0.48
,,,227.57,0.63,,351.84,0.92,,209.65,0.78,,,108.4,0.52,,143.58,0.6,,123.61,0.48
,,,228.76,0.63,,353.65,0.92,,210.8,0.78,,,109,0.52,,144.36,0.6,,124.29,0.49
,,,229.96,0.63,,355.46,0.93,,211.95,0.78,,,109.6,0.52,,145.14,0.6,,124.97,0.49
,,,231.15,0.63,,357.27,0.93,,213.1,0.78,,,110.21,0.52,,145.92,0.6,,125.65,0.49
,,,232.35,0.63,,359.08,0.93,,214.25,0.79,,,110.81,0.52,,146.7,0.6,,126.32,0.49
,,,233.54,0.63,,360.89,0.93,,215.4,0.79,,,111.41,0.52,,147.47,0.6,,127,0.49
,,,234.73,0.63,,362.7,0.93,,216.55,0.79,,,112.02,0.52,,148.25,0.61,,127.68,0.49
,,,235.93,0.63,,364.51,0.93,,217.7,0.79,,,112.62,0.52,,149.03,0.61,,128.36,0.49
,,,237.12,0.63,,366.32,0.94,,218.85,0.79,,,113.23,0.52,,149.81,0.61,,129.04,0.49
,,,238.32,0.64,,368.13,0.94,,220,0.79,,,113.83,0.52,,150.59,0.61,,129.71,0.49
,,,239.51,0.64,,369.94,0.94,,221.15,0.79,,,114.43,0.52,,151.37,0.61,,130.39,0.49
,,,240.71,0.64,,371.75,0.94,,222.3,0.79,,,115.04,0.52,,152.15,0.61,,131.07,0.49
,,,241.9,0.64,,373.56,0.94,,223.45,0.8,,,115.64,0.52,,152.93,0.61,,131.75,0.49
