Machine Name,Lloyd LRX ,P35-1,,,P35-2,,,P35-3,,,P35-4,,,P40-1,,,P40-2,,,P40-3,,,P40-4,,,P45-1,,,P45-2,,,P45-3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,-0.86,0,,-3.15,0.01,,-3.29,0,,-5.6,0,,-3.66,0,,-4.64,0,,-1.9,0
,,2270.19,0.25,,1640.85,0.13,,1904.34,0.2,,1946.13,0.36,,1216.05,0.42,,,,,1464.17,0.27,,1240.91,0.35,,1009.74,0.59,,1011.85,0.54,,950.92,0.43
,,2273.53,0.25,,1643.28,0.13,,1907.15,0.2,,1948.99,0.36,,1217.85,0.42,,,,,1466.34,0.27,,1242.75,0.35,,1011.24,0.59,,1013.36,0.54,,952.34,0.43
,,2276.87,0.25,,1645.7,0.13,,1909.95,0.2,,1951.86,0.36,,1219.65,0.42,,,,,1468.51,0.27,,1244.59,0.35,,1012.74,0.59,,1014.86,0.54,,953.75,0.43
,,2280.2,0.25,,1648.13,0.13,,1912.76,0.2,,1954.72,0.36,,1221.45,0.42,,,,,1470.67,0.27,,1246.43,0.35,,1014.24,0.59,,1016.37,0.54,,955.16,0.43
,,2283.54,0.25,,1650.56,0.13,,1915.57,0.2,,1957.59,0.36,,1223.25,0.42,,,,,1472.84,0.27,,1248.27,0.35,,1015.74,0.59,,1017.88,0.54,,956.57,0.43
,,2286.88,0.24,,1652.98,0.13,,1918.38,0.2,,1960.46,0.36,,1225.05,0.42,,,,,1475.01,0.27,,1250.12,0.35,,1017.24,0.59,,1019.38,0.54,,957.99,0.43
,,2290.22,0.24,,1655.41,0.13,,1921.19,0.2,,1963.32,0.36,,1226.85,0.42,,,,,1477.17,0.27,,1251.96,0.35,,1018.74,0.59,,1020.89,0.54,,959.4,0.43
,,2293.55,0.24,,1657.83,0.13,,1924,0.2,,1966.19,0.36,,1228.65,0.42,,,,,1479.34,0.27,,1253.8,0.35,,1020.24,0.59,,1022.39,0.54,,960.81,0.43
,,2296.89,0.24,,1660.26,0.13,,1926.8,0.2,,1969.05,0.36,,1230.46,0.42,,,,,1481.51,0.27,,1255.64,0.35,,1021.74,0.59,,1023.9,0.54,,962.23,0.43
,,2300.23,0.24,,1662.68,0.13,,1929.61,0.2,,1971.92,0.36,,1232.26,0.42,,,,,1483.67,0.27,,1257.48,0.35,,1023.24,0.59,,1025.41,0.54,,963.64,0.43
,,2303.57,0.24,,1665.11,0.13,,1932.42,0.2,,1974.78,0.36,,1234.06,0.42,,,,,1485.84,0.27,,1259.33,0.35,,1024.74,0.59,,1026.91,0.54,,965.05,0.43
,,2306.91,0.24,,1667.53,0.13,,1935.23,0.2,,1977.65,0.36,,1235.86,0.42,,,,,1488.01,0.27,,1261.17,0.35,,1026.24,0.59,,1028.42,0.54,,966.47,0.43
,,2310.24,0.24,,1669.96,0.13,,1938.04,0.2,,1980.51,0.36,,1237.66,0.42,,,,,1490.17,0.27,,1263.01,0.35,,1027.74,0.59,,1029.92,0.54,,967.88,0.43
,,2313.58,0.24,,1672.39,0.12,,1940.84,0.2,,1983.38,0.36,,1239.46,0.42,,,,,1492.34,0.27,,1264.85,0.35,,1029.24,0.59,,1031.43,0.54,,969.29,0.43
,,2316.92,0.24,,1674.81,0.12,,1943.65,0.2,,1986.25,0.36,,1241.26,0.42,,,,,1494.5,0.27,,1266.69,0.35,,1030.75,0.59,,1032.94,0.54,,970.7,0.43
,,2320.26,0.24,,1677.24,0.12,,1946.46,0.2,,1989.12,0.36,,1243.06,0.42,,,,,1496.67,0.27,,1268.54,0.35,,1032.25,0.59,,1034.44,0.54,,972.12,0.43
,,2323.59,0.24,,1679.67,0.12,,1949.27,0.2,,1991.99,0.36,,1244.86,0.42,,,,,1498.84,0.26,,1270.38,0.35,,1033.75,0.59,,1035.95,0.54,,973.53,0.43
,,2326.93,0.24,,1682.09,0.12,,1952.08,0.2,,1994.86,0.36,,1246.66,0.42,,,,,1501,0.26,,1272.22,0.35,,1035.25,0.59,,1037.45,0.54,,974.94,0.43
,,2330.27,0.24,,1684.52,0.12,,1954.89,0.2,,1997.73,0.35,,1248.47,0.42,,,,,1503.17,0.26,,1274.06,0.35,,1036.75,0.59,,1038.96,0.54,,976.36,0.43
,,2333.61,0.24,,1686.95,0.12,,1957.69,0.2,,2000.6,0.35,,1250.27,0.42,,,,,1505.33,0.26,,1275.9,0.35,,1038.25,0.59,,1040.47,0.54,,977.77,0.43
,,2336.95,0.24,,1689.37,0.12,,1960.5,0.2,,2003.47,0.35,,1252.07,0.42,,,,,1507.5,0.26,,1277.75,0.35,,1039.75,0.59,,1041.97,0.54,,979.18,0.43
,,2340.28,0.24,,1691.8,0.12,,1963.31,0.2,,2006.34,0.35,,1253.87,0.42,,,,,1509.66,0.26,,1279.59,0.35,,1041.25,0.59,,1043.48,0.54,,980.6,0.43
,,2343.62,0.24,,1694.23,0.12,,1966.12,0.2,,2009.21,0.35,,1255.67,0.42,,,,,1511.83,0.26,,1281.43,0.35,,1042.75,0.59,,1044.98,0.54,,982.01,0.43
,,2346.96,0.24,,1696.65,0.12,,1968.93,0.2,,2012.08,0.35,,1257.47,0.42,,,,,1513.99,0.26,,1283.27,0.35,,1044.25,0.59,,1046.49,0.54,,983.42,0.43
,,2350.3,0.24,,1699.08,0.12,,1971.74,0.2,,2014.95,0.35,,1259.27,0.42,,,,,1516.15,0.26,,1285.11,0.35,,1045.75,0.59,,1048,0.54,,984.84,0.43
,,2353.63,0.24,,1701.51,0.12,,1974.54,0.2,,2017.82,0.35,,1261.07,0.42,,,,,1518.32,0.26,,1286.96,0.35,,1047.25,0.6,,1049.5,0.54,,986.25,0.43
,,2356.97,0.24,,1703.93,0.12,,1977.35,0.2,,2020.7,0.35,,1262.87,0.42,,,,,1520.48,0.26,,1288.8,0.35,,1048.75,0.6,,1051.01,0.54,,987.66,0.43
,,2360.31,0.24,,1706.36,0.12,,1980.16,0.2,,2023.57,0.35,,1264.68,0.42,,,,,1522.65,0.26,,1290.64,0.35,,1050.25,0.6,,1052.52,0.54,,989.07,0.43
,,2363.65,0.24,,1708.79,0.12,,1982.97,0.2,,2026.44,0.35,,1266.48,0.42,,,,,1524.81,0.26,,1292.48,0.35,,1051.75,0.6,,1054.02,0.54,,990.49,0.43
,,2366.98,0.24,,1711.21,0.12,,1985.78,0.2,,2029.31,0.35,,1268.28,0.42,,,,,1526.98,0.26,,1294.32,0.35,,1053.25,0.6,,1055.53,0.54,,991.9,0.43
,,2370.32,0.24,,1713.64,0.12,,1988.59,0.2,,2032.18,0.35,,1270.08,0.42,,,,,1529.14,0.26,,1296.17,0.35,,1054.75,0.6,,1057.03,0.54,,993.31,0.43
,,2373.66,0.24,,1716.07,0.12,,1991.4,0.2,,2035.05,0.35,,1271.88,0.42,,,,,1531.31,0.26,,1298.01,0.35,,1056.25,0.6,,1058.54,0.54,,994.73,0.43
,,2376.99,0.24,,1718.49,0.12,,1994.2,0.19,,2037.93,0.35,,1273.68,0.42,,,,,1533.47,0.26,,1299.85,0.35,,1057.75,0.6,,1060.05,0.54,,996.14,0.43
,,2380.33,0.24,,1720.92,0.12,,1997.01,0.19,,2040.8,0.35,,1275.48,0.42,,,,,1535.64,0.26,,1301.69,0.35,,1059.25,0.6,,1061.55,0.54,,997.55,0.43
,,2383.67,0.24,,1723.35,0.12,,1999.82,0.19,,2043.67,0.35,,1277.28,0.42,,,,,1537.8,0.26,,1303.53,0.35,,1060.75,0.6,,1063.06,0.54,,998.97,0.43
,,2387.01,0.24,,1725.77,0.12,,2002.63,0.19,,2046.54,0.35,,1279.09,0.42,,,,,1539.96,0.26,,1305.37,0.35,,1062.25,0.6,,1064.56,0.54,,1000.38,0.43
,,2390.34,0.24,,1728.2,0.12,,2005.44,0.19,,2049.41,0.35,,1280.89,0.42,,,,,1542.13,0.26,,1307.21,0.35,,1063.75,0.6,,1066.07,0.54,,1001.8,0.43
,,2393.68,0.24,,1730.63,0.12,,2008.25,0.19,,2052.28,0.35,,1282.69,0.42,,,,,1544.29,0.26,,1309.06,0.35,,1065.25,0.6,,1067.58,0.54,,1003.21,0.43
,,2397.02,0.24,,1733.05,0.12,,2011.05,0.19,,2055.16,0.35,,1284.49,0.42,,,,,1546.46,0.26,,1310.9,0.35,,1066.75,0.6,,1069.08,0.54,,1004.63,0.43
,,2400.35,0.24,,1735.48,0.12,,2013.86,0.19,,2058.03,0.35,,1286.29,0.42,,,,,1548.65,0.26,,1312.74,0.35,,1068.26,0.6,,1070.59,0.54,,1006.04,0.43
,,2403.69,0.24,,1737.91,0.12,,2016.67,0.19,,2060.9,0.35,,1288.09,0.42,,,,,1550.84,0.26,,1314.58,0.35,,1069.76,0.6,,1072.09,0.54,,1007.45,0.43
,,2407.03,0.24,,1740.33,0.12,,2019.48,0.19,,2063.77,0.35,,1289.89,0.42,,,,,1553.02,0.26,,1316.42,0.35,,1071.26,0.6,,1073.6,0.54,,1008.87,0.43
,,2410.37,0.24,,1742.76,0.12,,2022.29,0.19,,2066.64,0.35,,1291.69,0.42,,,,,1555.19,0.26,,1318.26,0.35,,1072.76,0.6,,1075.11,0.54,,1010.28,0.43
,,2413.7,0.24,,1745.19,0.12,,2025.09,0.19,,2069.51,0.35,,1293.49,0.42,,,,,1557.36,0.26,,1320.1,0.35,,1074.26,0.6,,1076.61,0.54,,1011.7,0.43
,,2417.04,0.24,,1747.61,0.12,,2027.9,0.19,,2072.39,0.35,,1295.29,0.42,,,,,1559.52,0.26,,1321.95,0.35,,1075.76,0.6,,1078.12,0.54,,1013.11,0.43
,,2420.38,0.24,,1750.04,0.12,,2030.71,0.19,,2075.26,0.35,,1297.09,0.42,,,,,1561.69,0.26,,1323.79,0.35,,1077.26,0.6,,1079.62,0.54,,1014.52,0.43
,,2423.71,0.24,,1752.47,0.12,,2033.52,0.19,,2078.13,0.35,,1298.89,0.42,,,,,1563.85,0.26,,1325.63,0.35,,1078.76,0.6,,1081.13,0.54,,1015.94,0.43
,,2427.05,0.24,,1754.89,0.12,,2036.32,0.19,,2081,0.35,,1300.69,0.42,,,,,1566.02,0.26,,1327.48,0.35,,1080.26,0.6,,1082.64,0.54,,1017.35,0.43
,,2430.39,0.24,,1757.32,0.12,,2039.13,0.19,,2083.87,0.35,,1302.49,0.42,,,,,1568.18,0.26,,1329.33,0.35,,1081.76,0.6,,1084.14,0.54,,1018.77,0.43
,,2433.73,0.24,,1759.75,0.12,,2041.94,0.19,,2086.74,0.35,,1304.29,0.42,,,,,1570.35,0.26,,1331.17,0.35,,1083.26,0.6,,1085.65,0.54,,1020.18,0.44
,,2437.07,0.24,,1762.17,0.12,,2044.75,0.19,,2089.61,0.35,,1306.09,0.42,,,,,1572.52,0.26,,1333.02,0.35,,1084.76,0.6,,1087.15,0.54,,1021.6,0.44
,,2440.41,0.24,,1764.6,0.12,,2047.55,0.19,,2092.49,0.35,,1307.89,0.42,,,,,1574.68,0.26,,1334.87,0.35,,1086.26,0.6,,1088.66,0.54,,1023.01,0.44
,,2443.75,0.24,,1767.03,0.12,,2050.36,0.19,,2095.36,0.35,,1309.69,0.42,,,,,1576.85,0.26,,1336.72,0.35,,1087.76,0.6,,1090.17,0.53,,1024.42,0.44
,,2447.09,0.24,,1769.45,0.12,,2053.17,0.19,,2098.23,0.35,,1311.49,0.42,,,,,1579.01,0.26,,1338.56,0.35,,1089.26,0.6,,1091.67,0.53,,1025.84,0.44
,,2450.43,0.24,,1771.88,0.12,,2055.98,0.19,,2101.1,0.35,,1313.29,0.42,,,,,1581.18,0.26,,1340.41,0.35,,1090.76,0.6,,1093.18,0.53,,1027.25,0.44
,,2453.78,0.24,,1774.31,0.12,,2058.78,0.19,,2103.98,0.35,,1315.1,0.42,,,,,1583.35,0.26,,1342.26,0.35,,1092.26,0.6,,1094.68,0.53,,1028.67,0.44
,,2457.12,0.24,,1776.73,0.12,,2061.59,0.19,,2106.85,0.35,,1316.9,0.42,,,,,1585.51,0.26,,1344.11,0.35,,1093.76,0.6,,1096.19,0.53,,1030.08,0.44
,,2460.46,0.24,,1779.16,0.12,,2064.4,0.19,,2109.73,0.35,,1318.7,0.42,,,,,1587.68,0.26,,1345.95,0.35,,1095.26,0.6,,1097.7,0.53,,1031.49,0.44
,,2463.8,0.24,,1781.59,0.12,,2067.2,0.19,,2112.6,0.35,,1320.5,0.42,,,,,1589.84,0.26,,1347.8,0.35,,1096.76,0.6,,1099.2,0.53,,1032.91,0.44
,,2467.14,0.24,,1784.02,0.12,,2070.01,0.19,,2115.48,0.35,,1322.3,0.42,,,,,1592.01,0.26,,1349.65,0.35,,1098.26,0.6,,1100.71,0.53,,1034.32,0.44
,,2470.48,0.24,,1786.44,0.12,,2072.81,0.19,,2118.35,0.35,,1324.1,0.42,,,,,1594.18,0.26,,1351.49,0.35,,1099.75,0.6,,1102.21,0.53,,1035.74,0.44
,,2473.82,0.24,,1788.87,0.12,,2075.62,0.19,,2121.23,0.35,,1325.9,0.42,,,,,1596.34,0.26,,1353.34,0.35,,1101.25,0.6,,1103.72,0.53,,1037.15,0.44
,,2477.16,0.24,,1791.31,0.12,,2078.43,0.19,,2124.1,0.35,,1327.7,0.42,,,,,1598.51,0.26,,1355.18,0.35,,1102.75,0.6,,1105.23,0.53,,1038.56,0.44
,,2480.5,0.24,,1793.77,0.12,,2081.23,0.19,,2126.98,0.35,,1329.5,0.42,,,,,1600.67,0.26,,1357.02,0.35,,1104.25,0.6,,1106.73,0.53,,1039.98,0.44
,,2483.84,0.24,,1796.23,0.12,,2084.04,0.19,,2129.85,0.35,,1331.3,0.42,,,,,1602.84,0.25,,1358.86,0.35,,1105.74,0.6,,1108.24,0.53,,1041.39,0.44
,,2487.18,0.24,,1798.66,0.12,,2086.84,0.18,,2132.71,0.34,,1333.1,0.42,,,,,1605,0.25,,1360.71,0.35,,1107.24,0.6,,1109.74,0.53,,1042.81,0.44
,,2490.52,0.24,,1801.09,0.12,,2089.65,0.18,,2135.55,0.34,,1334.9,0.42,,,,,1607.17,0.25,,1362.55,0.35,,1108.74,0.6,,1111.25,0.53,,1044.22,0.44
,,2493.86,0.24,,1803.52,0.12,,2092.48,0.18,,2138.4,0.34,,1336.7,0.42,,,,,1609.34,0.25,,1364.39,0.35,,1110.24,0.6,,1112.76,0.53,,1045.64,0.44
,,2497.2,0.24,,1805.95,0.12,,2095.34,0.18,,2141.25,0.34,,1338.5,0.42,,,,,1611.5,0.25,,1366.23,0.35,,1111.73,0.6,,1114.26,0.53,,1047.05,0.44
,,2500.54,0.24,,1808.38,0.12,,2098.15,0.18,,2144.12,0.34,,1340.3,0.42,,,,,1613.67,0.25,,1368.08,0.35,,1113.23,0.6,,1115.77,0.53,,1048.46,0.44
,,2503.88,0.24,,1810.81,0.12,,2100.96,0.18,,2146.99,0.34,,1342.1,0.42,,,,,1615.83,0.25,,1369.92,0.35,,1114.73,0.6,,1117.27,0.53,,1049.88,0.44
,,2507.22,0.24,,1813.23,0.12,,2103.76,0.18,,2149.86,0.34,,1343.9,0.42,,,,,1618,0.25,,1371.76,0.35,,1116.23,0.61,,1118.78,0.53,,1051.29,0.44
,,2510.56,0.24,,1815.66,0.12,,2106.57,0.18,,2152.73,0.34,,1345.7,0.42,,,,,1620.17,0.25,,1373.6,0.35,,1117.73,0.61,,1120.29,0.53,,1052.71,0.44
,,2513.9,0.24,,1818.09,0.12,,2109.38,0.18,,2155.6,0.34,,1347.5,0.42,,,,,1622.33,0.25,,1375.45,0.35,,1119.23,0.61,,1121.79,0.53,,1054.12,0.44
,,2517.24,0.24,,1820.52,0.11,,2112.18,0.18,,2158.47,0.34,,1349.3,0.42,,,,,1624.49,0.25,,1377.29,0.35,,1120.73,0.61,,1123.3,0.53,,1055.53,0.44
,,2520.58,0.24,,1822.95,0.11,,2114.99,0.18,,2161.34,0.34,,1351.1,0.42,,,,,1626.66,0.25,,1379.13,0.35,,1122.23,0.61,,1124.81,0.53,,1056.95,0.44
,,2523.93,0.24,,1825.38,0.11,,2117.8,0.18,,2164.21,0.34,,1352.9,0.42,,,,,1628.82,0.25,,1380.97,0.35,,1123.74,0.61,,1126.31,0.53,,1058.36,0.44
,,2527.27,0.24,,1827.81,0.11,,2120.6,0.18,,2167.08,0.34,,1354.7,0.42,,,,,1630.99,0.25,,1382.82,0.35,,1125.24,0.61,,1127.82,0.53,,1059.78,0.44
,,2530.63,0.24,,1830.24,0.11,,2123.41,0.18,,2169.95,0.34,,1356.5,0.42,,,,,1633.15,0.25,,1384.66,0.35,,1126.74,0.61,,1129.33,0.53,,1061.19,0.44
,,2534.02,0.24,,1832.67,0.11,,2126.22,0.18,,2172.82,0.34,,1358.3,0.42,,,,,1635.31,0.25,,1386.5,0.35,,1128.24,0.61,,1130.83,0.52,,1062.61,0.44
,,2537.36,0.24,,1835.1,0.11,,2129.02,0.18,,2175.69,0.34,,1360.1,0.42,,,,,1637.48,0.25,,1388.34,0.35,,1129.74,0.61,,1132.34,0.52,,1064.02,0.44
,,2540.7,0.24,,1837.53,0.11,,2131.83,0.18,,2178.56,0.34,,1361.9,0.42,,,,,1639.64,0.25,,1390.19,0.35,,1131.24,0.61,,1133.85,0.52,,1065.43,0.44
,,2544.04,0.24,,1839.96,0.11,,2134.64,0.18,,2181.43,0.34,,1363.7,0.41,,,,,1641.81,0.25,,1392.03,0.35,,1132.74,0.61,,1135.35,0.52,,1066.85,0.44
,,2547.37,0.24,,1842.39,0.11,,2137.44,0.18,,2184.3,0.34,,1365.5,0.41,,,,,1643.97,0.25,,1393.87,0.35,,1134.24,0.61,,1136.86,0.52,,1068.26,0.44
,,2550.71,0.24,,1844.82,0.11,,2140.25,0.18,,2187.17,0.34,,1367.3,0.41,,,,,1646.13,0.25,,1395.71,0.35,,1135.74,0.61,,1138.37,0.52,,1069.67,0.44
,,2554.05,0.24,,1847.25,0.11,,2143.06,0.18,,2190.04,0.34,,1369.1,0.41,,,,,1648.3,0.25,,1397.56,0.35,,1137.24,0.61,,1139.87,0.52,,1071.09,0.44
,,2557.39,0.24,,1849.68,0.11,,2145.87,0.18,,2192.91,0.34,,1370.9,0.41,,,,,1650.46,0.25,,1399.4,0.35,,1138.74,0.61,,1141.38,0.52,,1072.5,0.44
,,2560.72,0.24,,1852.11,0.11,,2148.67,0.18,,2195.78,0.34,,1372.71,0.41,,,,,1652.63,0.25,,1401.24,0.35,,1140.25,0.61,,1142.89,0.52,,1073.91,0.44
,,2564.06,0.24,,1854.54,0.11,,2151.48,0.18,,2198.65,0.34,,1374.51,0.41,,,,,1654.79,0.25,,1403.09,0.35,,1141.75,0.61,,1144.39,0.52,,1075.33,0.44
,,2567.4,0.24,,1856.96,0.11,,2154.29,0.18,,2201.52,0.34,,1376.18,0.41,,,,,1656.95,0.25,,1404.93,0.35,,1143.25,0.61,,1145.9,0.52,,1076.74,0.44
,,2570.74,0.24,,1859.39,0.11,,2157.1,0.18,,2204.39,0.34,,1377.98,0.41,,,,,1659.12,0.25,,1406.77,0.35,,1144.75,0.61,,1147.41,0.52,,1078.15,0.44
,,2574.07,0.24,,1861.82,0.11,,2159.9,0.18,,2207.26,0.34,,1379.78,0.41,,,,,1661.28,0.25,,1408.62,0.35,,1146.25,0.61,,1148.91,0.52,,1079.57,0.44
,,2577.41,0.24,,1864.25,0.11,,2162.71,0.18,,2210.13,0.34,,1381.58,0.41,,,,,1663.45,0.25,,1410.46,0.35,,1147.75,0.61,,1150.42,0.52,,1080.98,0.44
,,2580.75,0.24,,1866.68,0.11,,2165.52,0.18,,2213,0.34,,1383.38,0.41,,,,,1665.61,0.25,,1412.31,0.35,,1149.25,0.61,,1151.93,0.52,,1082.39,0.44
,,2584.09,0.24,,1869.1,0.11,,2168.33,0.18,,2215.87,0.34,,1385.19,0.41,,,,,1667.77,0.25,,1414.15,0.35,,1150.75,0.61,,1153.43,0.52,,1083.8,0.44
,,2587.42,0.24,,1871.53,0.11,,2171.13,0.18,,2218.75,0.34,,1386.99,0.41,,,,,1669.94,0.25,,1416,0.35,,1152.25,0.61,,1154.94,0.52,,1085.22,0.44
,,2590.76,0.24,,1873.96,0.11,,2173.94,0.18,,2221.62,0.34,,1388.79,0.41,,,,,1672.1,0.25,,1417.84,0.35,,1153.75,0.61,,1156.45,0.52,,1086.63,0.44
,,2594.1,0.24,,1876.39,0.11,,2176.75,0.18,,2224.49,0.34,,1390.59,0.41,,,,,1674.27,0.25,,1419.69,0.35,,1155.25,0.61,,1157.95,0.52,,1088.04,0.44
,,2597.44,0.24,,1878.81,0.11,,2179.56,0.17,,2227.36,0.34,,1392.39,0.41,,,,,1676.44,0.25,,1421.53,0.35,,1156.75,0.61,,1159.46,0.52,,1089.46,0.44
,,2600.77,0.24,,1881.24,0.11,,2182.37,0.17,,2230.23,0.34,,1394.19,0.41,,,,,1678.6,0.25,,1423.37,0.35,,1158.26,0.61,,1160.97,0.52,,1090.87,0.44
,,2604.11,0.24,,1883.67,0.11,,2185.17,0.17,,2233.1,0.34,,1395.99,0.41,,,,,1680.77,0.24,,1425.22,0.35,,1159.76,0.61,,1162.47,0.52,,1092.28,0.44
,,2607.45,0.24,,1886.1,0.11,,2187.98,0.17,,2235.97,0.34,,1397.79,0.41,,,,,1682.93,0.24,,1427.06,0.35,,1161.26,0.61,,1163.98,0.51,,1093.7,0.44
,,2610.78,0.24,,1888.52,0.11,,2190.79,0.17,,2238.83,0.34,,1399.59,0.41,,,,,1685.1,0.24,,1428.91,0.35,,1162.76,0.61,,1165.49,0.51,,1095.11,0.44
,,2614.12,0.24,,1890.95,0.11,,2193.6,0.17,,2241.7,0.34,,1401.39,0.41,,,,,1687.26,0.24,,1430.75,0.35,,1164.26,0.61,,1166.99,0.51,,1096.52,0.44
,,2617.45,0.23,,1893.38,0.11,,2196.4,0.17,,2244.57,0.33,,1403.19,0.41,,,,,1689.43,0.24,,1432.6,0.35,,1165.76,0.61,,1168.5,0.51,,1097.93,0.44
,,2620.79,0.23,,1895.81,0.11,,2199.21,0.17,,2247.44,0.33,,1404.99,0.41,,,,,1691.6,0.24,,1434.44,0.35,,1167.26,0.61,,1170.01,0.51,,1099.35,0.44
,,2624.13,0.23,,1898.23,0.11,,2202.02,0.17,,2250.31,0.33,,1406.79,0.41,,,,,1693.76,0.24,,1436.28,0.35,,1168.76,0.61,,1171.51,0.51,,1100.76,0.44
,,2627.46,0.23,,1900.66,0.11,,2204.83,0.17,,2253.18,0.33,,1408.59,0.41,,,,,1695.93,0.24,,1438.13,0.35,,1170.26,0.61,,1173.02,0.51,,1102.17,0.44
,,2630.8,0.23,,1903.09,0.11,,2207.63,0.17,,2256.05,0.33,,1410.39,0.41,,,,,1698.09,0.24,,1439.97,0.35,,1171.76,0.61,,1174.53,0.51,,1103.59,0.44
,,2634.13,0.23,,1905.52,0.11,,2210.44,0.17,,2258.92,0.33,,1412.19,0.41,,,,,1700.26,0.24,,1441.82,0.35,,1173.26,0.62,,1176.03,0.51,,1105,0.44
,,2637.47,0.23,,1907.94,0.11,,2213.25,0.17,,2261.79,0.33,,1413.99,0.41,,,,,1702.42,0.24,,1443.66,0.35,,1174.76,0.62,,1177.54,0.51,,1106.41,0.44
,,2640.81,0.23,,1910.37,0.11,,2216.06,0.17,,2264.66,0.33,,1415.79,0.41,,,,,1704.59,0.24,,1445.51,0.35,,1176.26,0.62,,1179.05,0.51,,1107.83,0.44
,,2644.14,0.23,,1912.8,0.11,,2218.86,0.17,,2267.53,0.33,,1417.59,0.41,,,,,1706.75,0.24,,1447.35,0.35,,1177.76,0.62,,1180.55,0.51,,1109.24,0.44
,,2647.48,0.23,,1915.23,0.11,,2221.67,0.17,,2270.4,0.33,,1419.39,0.41,,,,,1708.92,0.24,,1449.19,0.35,,1179.26,0.62,,1182.06,0.51,,1110.65,0.44
,,2650.81,0.23,,1917.65,0.11,,2224.48,0.17,,2273.27,0.33,,1421.19,0.41,,,,,1711.09,0.24,,1451.04,0.35,,1180.76,0.62,,1183.57,0.51,,1112.06,0.44
,,2654.15,0.23,,1920.08,0.11,,2227.29,0.17,,2276.14,0.33,,1423,0.41,,,,,1713.25,0.24,,1452.88,0.35,,1182.26,0.62,,1185.07,0.51,,1113.48,0.44
,,2657.48,0.23,,1922.51,0.11,,2230.12,0.17,,2279.01,0.33,,1424.8,0.41,,,,,1715.42,0.24,,1454.73,0.35,,1183.76,0.62,,1186.58,0.51,,1114.89,0.44
,,2660.82,0.23,,1924.94,0.11,,2232.98,0.17,,2281.88,0.33,,1426.6,0.41,,,,,1717.58,0.24,,1456.57,0.35,,1185.26,0.62,,1188.09,0.51,,1116.3,0.44
,,2664.16,0.23,,1927.36,0.11,,2235.79,0.17,,2284.74,0.33,,1428.4,0.41,,,,,1719.75,0.24,,1458.42,0.35,,1186.76,0.62,,1189.59,0.51,,1117.72,0.44
,,2667.49,0.23,,1929.79,0.11,,2238.6,0.17,,2287.61,0.33,,1430.2,0.41,,,,,1721.91,0.24,,1460.26,0.35,,1188.26,0.62,,1191.1,0.51,,1119.13,0.44
,,2670.83,0.23,,1932.22,0.11,,2241.41,0.17,,2290.48,0.33,,1432,0.41,,,,,1724.08,0.24,,1462.1,0.35,,1189.76,0.62,,1192.61,0.51,,1120.54,0.44
,,2674.16,0.23,,1934.65,0.11,,2244.22,0.17,,2293.35,0.33,,1433.8,0.41,,,,,1726.25,0.24,,1463.94,0.35,,1191.26,0.62,,1194.11,0.51,,1121.96,0.44
,,2677.51,0.23,,1937.07,0.11,,2247.04,0.17,,2296.22,0.33,,1435.6,0.41,,,,,1728.41,0.24,,1465.79,0.35,,1192.76,0.62,,1195.62,0.51,,1123.37,0.44
,,2680.89,0.23,,1939.5,0.11,,2249.85,0.17,,2299.09,0.33,,1437.4,0.41,,,,,1730.58,0.24,,1467.63,0.35,,1194.26,0.62,,1197.13,0.51,,1124.74,0.44
,,2684.25,0.23,,1941.93,0.11,,2252.66,0.17,,2301.96,0.33,,1439.2,0.41,,,,,1732.74,0.24,,1469.47,0.35,,1195.76,0.62,,1198.63,0.51,,1126.08,0.44
,,2687.59,0.23,,1944.29,0.11,,2255.47,0.17,,2304.83,0.33,,1441,0.41,,,,,1734.91,0.24,,1471.32,0.34,,1197.26,0.62,,1200.14,0.5,,1127.49,0.44
,,2690.93,0.23,,1946.69,0.11,,2258.28,0.17,,2307.7,0.33,,1442.8,0.41,,,,,1737.07,0.24,,1473.16,0.34,,1198.76,0.62,,1201.65,0.5,,1128.9,0.44
,,2694.28,0.23,,1949.12,0.11,,2261.09,0.17,,2310.57,0.33,,1444.6,0.41,,,,,1739.24,0.24,,1475,0.34,,1200.27,0.62,,1203.15,0.5,,1130.32,0.44
,,2697.62,0.23,,1951.56,0.11,,2263.9,0.17,,2313.44,0.33,,1446.4,0.41,,,,,1741.41,0.24,,1476.85,0.34,,1201.77,0.62,,1204.66,0.5,,1131.73,0.44
,,2700.96,0.23,,1953.99,0.11,,2266.71,0.17,,2316.31,0.33,,1448.2,0.41,,,,,1743.57,0.24,,1478.69,0.34,,1203.27,0.62,,1206.17,0.5,,1133.14,0.44
,,2704.31,0.23,,1956.42,0.11,,2269.52,0.17,,2319.18,0.33,,1450,0.41,,,,,1745.74,0.24,,1480.53,0.34,,1204.78,0.62,,1207.67,0.5,,1134.55,0.44
