Machine Name,Lloyd LRX ,P35 Undamaged,1,,,2,,,3,,,4,,,P35 1 hr healing,1,,,2,,,3,,,P35 3 hr healing,1,,,2,,,3,
,50 N load cell at RT with a crosshead speed of 100 mm min−1 according to ISO-37,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa,,Strain / %,Stress / MPa
,,,-0.9,0,,-7.1,-0.01,,-3.42,0,,-2.53,0,,,-2.38,0,,-2.6,-0.01,,-0.93,0,,,-1.57,0,,-1.91,0,,-8.51,0
,,,333.51,0.21,,232.96,0.14,,275.05,0.21,,282.09,0.31,,,96.67,0.19,,83.21,0.16,,87.31,0.25,,,108.45,0.19,,135.95,0.15,,130.62,0.14
,,,336.84,0.21,,235.39,0.14,,277.86,0.21,,284.96,0.31,,,97.75,0.19,,84.16,0.16,,88.24,0.25,,,109.63,0.19,,137.35,0.15,,132.08,0.14
,,,340.18,0.21,,237.82,0.14,,280.67,0.21,,287.82,0.31,,,98.83,0.19,,85.11,0.16,,89.17,0.25,,,110.82,0.19,,138.75,0.15,,133.54,0.14
,,,343.52,0.21,,240.25,0.15,,283.48,0.21,,290.69,0.31,,,99.91,0.19,,86.05,0.16,,90.1,0.25,,,112,0.2,,140.15,0.15,,135,0.14
,,,346.86,0.21,,242.67,0.15,,286.29,0.21,,293.56,0.31,,,100.99,0.19,,87,0.16,,91.03,0.25,,,113.19,0.2,,141.55,0.15,,136.46,0.14
,,,350.2,0.21,,245.1,0.15,,289.1,0.21,,296.43,0.31,,,102.07,0.19,,87.95,0.16,,91.96,0.25,,,114.37,0.2,,142.94,0.15,,137.92,0.14
,,,353.54,0.21,,247.53,0.15,,291.91,0.21,,299.3,0.31,,,103.15,0.19,,88.9,0.16,,92.89,0.25,,,115.55,0.2,,144.34,0.15,,139.39,0.14
,,,356.88,0.21,,249.95,0.15,,294.72,0.21,,302.17,0.31,,,104.23,0.19,,89.85,0.16,,93.82,0.25,,,116.74,0.2,,145.74,0.15,,140.85,0.14
,,,360.22,0.21,,252.38,0.15,,297.52,0.21,,305.04,0.31,,,105.31,0.19,,90.8,0.16,,94.76,0.25,,,117.92,0.2,,147.14,0.15,,142.31,0.14
,,,363.56,0.21,,254.81,0.15,,300.33,0.21,,307.91,0.31,,,106.39,0.19,,91.75,0.16,,95.69,0.25,,,119.11,0.2,,148.54,0.15,,143.77,0.14
,,,366.9,0.21,,257.24,0.15,,303.14,0.21,,310.78,0.31,,,107.47,0.19,,92.69,0.16,,96.62,0.25,,,120.29,0.2,,149.94,0.15,,145.23,0.14
,,,370.24,0.21,,259.66,0.15,,305.95,0.21,,313.65,0.31,,,108.55,0.19,,93.64,0.17,,97.55,0.25,,,121.47,0.2,,151.34,0.15,,146.69,0.14
,,,373.58,0.21,,262.09,0.15,,308.76,0.21,,316.52,0.31,,,109.63,0.19,,94.59,0.17,,98.48,0.25,,,122.66,0.2,,152.74,0.15,,148.15,0.14
,,,376.92,0.21,,264.52,0.15,,311.57,0.21,,319.39,0.31,,,110.71,0.19,,95.54,0.17,,99.41,0.25,,,123.84,0.2,,154.14,0.15,,149.62,0.14
,,,380.26,0.21,,266.95,0.15,,314.38,0.21,,322.25,0.31,,,111.79,0.19,,96.49,0.17,,100.34,0.25,,,125.02,0.2,,155.53,0.15,,151.08,0.14
,,,383.6,0.21,,269.38,0.15,,317.19,0.21,,325.12,0.31,,,112.87,0.19,,97.43,0.17,,101.27,0.25,,,126.21,0.2,,156.93,0.15,,152.54,0.14
,,,386.94,0.21,,271.81,0.15,,319.99,0.21,,327.99,0.31,,,113.95,0.19,,98.38,0.17,,102.2,0.25,,,127.39,0.2,,158.33,0.15,,154,0.14
,,,390.28,0.21,,274.23,0.15,,322.8,0.21,,330.86,0.31,,,115.03,0.19,,99.33,0.17,,103.13,0.25,,,128.58,0.2,,159.73,0.15,,155.46,0.14
,,,393.62,0.21,,276.66,0.15,,325.61,0.21,,333.73,0.31,,,116.11,0.2,,100.28,0.17,,104.06,0.25,,,129.76,0.2,,161.13,0.15,,156.92,0.14
,,,396.96,0.21,,279.09,0.15,,328.42,0.21,,336.6,0.31,,,117.19,0.2,,101.23,0.17,,104.99,0.25,,,130.94,0.2,,162.53,0.15,,158.39,0.14
