Machine Name,Agilent 1260 Infinity II GPC,P35,,,P40,,,P45,
,"2 x PLgel 5 ?m MIXED-C columns (polystyrene-divinylbenzene (PS/DVB), as well as a PLgel 5 ?m guard column at 35 °C and a flow rate of 1.0 mL.min-1 with THF containing 2.0% v/v triethylamine and 0.05% w/v BHT inhibitor as solvent.",logM,dwdlogM,,logM,dwdlogM,,logM,dwdlogM
,,4.64,0.9,,4.17,0.66,,4.87,0.38
,,4.64,0.91,,4.16,0.65,,4.86,0.39
,,4.63,0.92,,4.16,0.65,,4.86,0.4
,,4.63,0.92,,4.16,0.64,,4.85,0.41
,,4.62,0.93,,4.15,0.64,,4.85,0.41
,,4.62,0.93,,4.15,0.63,,4.85,0.42
,,4.62,0.94,,4.14,0.62,,4.84,0.43
,,4.61,0.95,,4.14,0.62,,4.84,0.44
,,4.61,0.95,,4.14,0.61,,4.83,0.45
,,4.6,0.96,,4.13,0.61,,4.83,0.45
,,4.6,0.96,,4.13,0.6,,4.83,0.46
,,4.6,0.97,,4.12,0.6,,4.82,0.47
,,4.59,0.97,,4.12,0.59,,4.82,0.48
,,4.59,0.97,,4.12,0.59,,4.81,0.49
,,4.58,0.98,,4.11,0.58,,4.81,0.5
,,4.58,0.98,,4.11,0.58,,4.81,0.5
,,4.58,0.99,,4.1,0.57,,4.8,0.51
,,4.57,0.99,,4.1,0.57,,4.8,0.52
,,4.57,0.99,,4.1,0.56,,4.79,0.53
,,4.56,1,,4.09,0.56,,4.79,0.54
,,4.56,1,,4.09,0.55,,4.79,0.55
,,4.56,1,,4.08,0.55,,4.78,0.56
,,4.55,1.01,,4.08,0.55,,4.78,0.57
,,4.55,1.01,,4.08,0.54,,4.77,0.58
,,4.54,1.01,,4.07,0.54,,4.77,0.59
,,4.54,1.01,,4.07,0.53,,4.77,0.59
,,4.54,1.02,,4.06,0.53,,4.76,0.6
,,4.53,1.02,,4.06,0.52,,4.76,0.61
,,4.53,1.02,,4.06,0.52,,4.75,0.62
,,4.52,1.02,,4.05,0.51,,4.75,0.63
